slug,id,grantee,grant_category,entity_type,organization,project_name,focus_area,grant_amount,project_cost,description_short,description_long,start_date,end_date,goals,economic_impact,social_impact
3d-led-cube-interactive,10,Christopher K. Biddle,Microgrant ($5k),Individual/Sole Proprietor,Light23 Company (light23.com),3D LED Cube Interactive,"Urban Tech, Temporary Activations, Public Art/Installations","$5,000.00 ","$5,000.00 ","Large, interactive, three-dimensional, multi-color LED cube display.","The core of this project would be a large, multi-color cubical lattice (the cube) composed of 4,096 LEDs. It would measure 30"" x 30"" x 30"". The cube could either hang from a ceiling joist, a truss system extending from the floor, or a similar structure. This would allow it to be seen overhead, ideally about seven or eight feet above ground, from all angles.
The cube would operate in two modes, ""idle"" and ""game"". In ""idle"" mode, the cube would randomly display various 3D animation patterns and scrolling 3D lettering of sponsors and advertisers. A group of passersby, however, could place it into ""game"" mode through a button or hand swipe, and turn it into an interactive 3D pong, or similar game. With 3D pong, multiple users would each manipulate a paddle restricted to a face of the cube to intercept a ball moving within the cube. The cube would be re-programmable so more animations and games could be added over time following initial deployment.
Since the cube is composed of LEDs, it would ideally be suited for an indoor venue with subdued lighting, or outdoors after sunset. If outdoors, the cube would need to be deployed in a weatherproof casing or other sheltering structure. One location recently suggested by a local major developer was one of the RT Light Rail stations. The cube could contribute to its revitalization effort by literally ""brightening"" it up. It would require AC power to operate, but the power requirements are not high, about 20 to 40 watts.
LEDs are generally very durable and have a long life span, but scheduled monthly maintenance would be recommended. Maintenance would include cleaning and the replacement of any burnt out LEDs (The cube is composed of removable panels that allow access to every LED for replacement).
I, Chris Biddle of Light23 Company, will be working in conjunction with Brandon Ortiz and Isela Perez of Obra Art and Technology Compound on this project, fulfilling the grant project's desire to encourage collaboration among community partners.",7/1/17,12/31/17,"The project would be located in an accessible public area. Light23 Company or its affiliates would periodically inspect and maintain the product to ensure a long life span. Its success would be measured by its longevity, the level of interactive engagement by the public, and the effectiveness of the displayed advertising.","A direct economic benefit of the cube is that of serving as a three dimensional advertising signboard for various organizations, both public and private. Another economic benefit is the attraction such a piece would have to the public within the area where the cube is deployed. It could serve as a beacon drawing people to its location, benefiting nearby store owners and vendors.","The cube has the obvious benefit of demonstrating a correlation between art and technology. The interactivity would be facilitated through a combination of IoT, wifi direct, and/or bluetooth, thereby serving as a pinnacle representation of how such cutting edge communication protocols and LED technology can be implemented in artwork. Much of the technology used would be open sourced, inspiring the youth who will recognize that the technology involved is within their grasp."
toposhare,13,Kimberly Garza,Microgrant ($5k),Individual/Sole Proprietor,ATLAS Lab Inc.,TOPOshare,"Public Art/Installations, Temporary Activations, Youth/Education, Cultural Equity, Underserved Communities","$5,000.00 ","$16,120.00 ",TOPOshare is a temporary art installation that seeks to improve public life on Broadway and serve as community outreach tool for nonprofits,"WHY
Sacramento is a city in transition, having rebounded from the recent recession to become one of the most desired housing markets in the country in the span of five years. The completion of the Golden 1 Center, the forthcoming Railyards and Mill development, and many others highlight a strengthening urban core, and this spread of revitalization is moving past the Business 80 and Highway 99 arteries into the surrounding metropolitan area. The burgeoning corridor, Broadway is home to a variety of businesses, neighborhoods, local government and industry, but it lacks thoughtful art and recreational opportunities. The Broadway corridor is in a unique position to improve the street level experience by activating various vacant and underutilized parcels that dot the landscape. TOPOshare, a temporary art installation, responds to this opportunity by activating multiple sites on Broadway to form a constellation of imaginative, safe, and youth-focused activity nodes.
WHAT
TOPOshare is comprised of a series of colorful milk crates, once assembled and configured, to create a topographic surface for the community to interact, discover and play.  The goal is to activate a series of vacant/underutilized sites along the Broadway corridor over a one-month period (from 16th Street to MLK) testing the opportunity for youth focused recreational and art opportunities.
HOW
Broadway serves as a connection point for the residential areas to the South and the downtown area to the North. To further embody a shared sense community, TOPOshare will partner with the many local nonprofit organizations (e.g. Sacramento Food Bank & Family Services, Next Move, City Year Sacramento) in the Broadway area by using the same milk crates used to create the installation to collect donation goods through food drive activations pre and post installation.
",4/1/18,5/1/18,"The project is geared towards improving public life and community involvement on Broadway. One way of gauging project success is through monitoring foot traffic on site. Activation events will be key in providing insight on what sites are most used and popular. This information will be helpful in determining future placement for a permanent installation.  With regards to giving back to the community, a measure of success will be successful raising of goods for the local nonprofits partners (e.g. Sacramento Food Bank & Family Services, Next Move, City Year Sacramento) as well as increased public awareness of these partners.","By enlivening the corridor with pedestrian and youth focused activities, TOPOshares goal is to get feet on the street and increase awareness of Broadways current businesses. Moreover, at the activation events, partnerships with local businesses will be key to bringing visibility to the project while simultaneously showcasing businesses in the Broadway area. ","The project aims to specifically serve adjacent nonprofits (e.g. Sacramento Food Bank & Family Services, Next Move, City Year Sacramento) and youth in the area through soliciting donations for nonprofits and using installation as an outreach tool. For example, the installation milk crates would subsequently be used to collect, store, and distribute goods on behalf of the Sacramento Food Bank."
